	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	0.00480988923789267	8.40053343762026	0.000572569500926269	0.999543155660186
pos_seq1	1.18303353315805	8.40363292516293	0.140776440819506	0.888046555196356
pos_seq2	0.614229319168142	8.40488349522398	0.0730800515577847	0.941742415756506
pos_seq3	1.15536029242944	8.40424735872676	0.137473380198614	0.890656632478003
pos_seq4	0.439121499698036	8.40340045583927	0.0522552152554987	0.958325337579853
pos_seq5	2.07463165244245	8.4338762007247	0.245987918611395	0.805691584763928
pos_seq6	-0.864278285245573	8.40133854351564	-0.102873879057361	0.918063069178897
pos_seq7	1.60462802319515	8.43609436595331	0.190209823834021	0.849144713346877
pos_seq8	1.11733289684043	8.40615520875076	0.132918423356887	0.894257896454737
pos_seq9	1.82777157451066	8.40914110840135	0.217355322136833	0.827931446614643
pos_seq10	0.42322954090874	8.401877242461	0.0503732116877218	0.959824983253761
pos_seq11	-1.95072003829284	8.41748594951322	-0.231746159125534	0.816735177369125
pos_seq12	1.60462802319706	8.47150602111516	0.189414729706564	0.849767780796466
pos_seq13	0.31364384188036	8.41334729591782	0.0372793171194229	0.970262296575713
pos_seq14	-1.06442002010298	8.4018444658635	-0.126688850814568	0.899186670492132
pos_seq15	-0.392943540994373	8.40156102082898	-0.0467703013785409	0.962696299187188
pos_seq16	-1.61424780167227	8.436094365953	-0.191350135696344	0.848251284084592
pos_seq17	0.394790099417739	8.40227400028508	0.0469861015487408	0.962524304652017
pos_seq18	-14.5708777097085	509.180110921238	-0.028616352833079	0.9771705697507
pos_seq19	0.0452005313367215	8.40350445246597	0.00537877162943105	0.995708381854402
pos_seq20	-0.432253904064887	8.40380375625974	-0.0514355066588644	0.958978491984657
pos_seq21	0.764323198299894	8.40282043030128	0.0909603156035182	0.927524123849773
pos_seq22	-0.00480988923840281	8.40966595966559	-0.000571947716053406	0.999543651772655
pos_seq23	-0.392575420246444	8.40577898415546	-0.0467030385864811	0.962749908548593
pos_seq24	0.623798770184548	8.41190951970603	0.0741566191033339	0.940885763703755
pos_seq25	0.842487971149401	8.42876868188127	0.0999538607531653	0.920380955713573
pos_seq26	0.282872183213935	8.40548145208963	0.0336532993173891	0.973153619603857
pos_seq27	0.56317414836809	8.40600518898372	0.0669966453394704	0.946584373833035
pos_seq28	-0.0951939507062086	8.4020691693454	-0.011329822307762	0.990960303101002
pos_seq29	-1.56545763750241	8.40395494697651	-0.1862763005489	0.852228091610518
pos_seq30	-1.17488114188938	8.40917634432073	-0.139714175774522	0.88888582561922
pos_seq31	0.0807122842003396	8.40256745901216	0.00960566929025625	0.992335902636924
pos_seq32	0.688337291321845	8.42277661215277	0.0817233227257482	0.93486673153842
pos_seq33	-1.12284026376312	8.4051680896274	-0.1335892693388	0.893727369954236
pos_seq34	0.184432110400558	8.40505501385171	0.0219429985998438	0.982493425099333
pos_seq35	0.688337291322575	8.48915645533878	0.0810842979445482	0.935374912991616
pos_seq36	-0.0109637548123202	8.40126441163468	-0.00130501246897274	0.998958750994903
pos_seq37	0.582976775664508	8.41899118746265	0.0692454431515099	0.944794251487549
pos_seq38	-0.367715382927011	8.40682551802836	-0.0437400992965119	0.965111575172018
pos_seq39	-0.276743604721638	8.40380298800598	-0.0329307582670144	0.973729804541544
pos_seq40	-14.5708777951251	881.845814217516	-0.0165231580852422	0.98681702712849
pos_seq41	-0.00480988923893963	8.51849257510622	-0.000564640891159038	0.999549481774485
pos_seq42	-14.5708777952778	881.845814388013	-0.0165231580822207	0.986817027130901
pos_seq43	-0.136002099509206	8.40157528723601	-0.0161876903865666	0.987084655826937
pos_seq44	-0.697957069798495	8.44496120061884	-0.0826477532836207	0.934131629501372
pos_seq45	-0.697957069798993	8.48915645533807	-0.08221748220462	0.934473771721106
pos_seq46	-1.62191067441738	8.4032707499136	-0.193009451044292	0.846951566398062
pos_seq47	-1.81737248609665	8.40115583620859	-0.21632410129376	0.828735123688212
pos_seq48	-0.665457902404834	8.40105709261898	-0.0792112105736662	0.936864627863937
pos_seq49	-1.40553451518681	8.40139419988776	-0.167297770077922	0.867135758633613
pos_seq50	-2.43922037501191	8.40346926457326	-0.290263496922039	0.771614662482258
pos_seq51	-0.522752980772584	8.40166166087242	-0.0622201895140706	0.95038748473141
pos_seq52	-0.6109456928082	8.41581789989677	-0.0725949277984845	0.942128463102459
pos_seq53	-1.46500927984274	8.40136503592417	-0.174377529553635	0.861568772583804
pos_seq54	-1.22120521356248	8.40190817838215	-0.145348555070455	0.884435680323967
pos_seq55	-1.06245473941746	8.40074291003227	-0.126471521720855	0.899358690387222
pos_seq56	-0.697957069798364	8.44496120061527	-0.0826477532836401	0.934131629501356
pos_seq57	0.0774282089990597	8.40379275810917	0.00921348386707252	0.992648807476425
pos_seq58	-0.515635513004034	8.43215055768376	-0.0611511273994228	0.951238851528314
pos_seq59	-14.5708777953835	881.845814484616	-0.0165231580805306	0.986817027132249
pos_seq60	-0.0048098892379208	8.51849257510719	-0.000564640891039372	0.999549481774581
pos_seq61	-0.921100621112172	8.44200662384658	-0.109109203789333	0.913115874907374
pos_seq62	-0.292491961689718	8.40630583801393	-0.0347943516838334	0.972243724609461
pos_seq63	-0.803317585455624	8.41009697244068	-0.0955182310130361	0.923903210211719
pos_seq64	-0.21838398953588	8.40564452385158	-0.0259806358591778	0.979272783583532
pos_seq65	-0.187131446031851	8.4114152273675	-0.0222473199780933	0.982250671034064
pos_seq66	-14.5708776770968	266.007125549033	-0.0547762682936511	0.956316707168358
pos_seq67	0.0834827179075986	8.40228353436786	0.0099357177803069	0.992072574613388
pos_seq68	0.34801148538483	8.40442214316894	0.0414081396027556	0.966970523899602
pos_seq69	-1.00333871934847	8.41213621549258	-0.119272761834339	0.905059262339386
pos_seq70	0.280575970953704	8.40148789081913	0.0333959858777287	0.973358810684381
pos_seq71	0.783647471126209	8.40916807784149	0.0931896548947752	0.925752892822988
pos_seq72	-0.00480988923803669	8.42425740226774	-0.000570957059875914	0.999544442201795
pos_seq73	0.96459066794998	8.40797762017803	0.114723267773108	0.908664470677361
pos_seq74	1.69993820299928	8.41806327429031	0.201939347283249	0.83996414100948
pos_seq75	-0.00480988923738285	8.44003633138809	-0.000569889636552287	0.999545293882246
pos_seq76	0.601325914332689	8.4158178998971	0.0714518685510105	0.943038129927158
pos_seq77	0.688337291321321	8.44496120061071	0.0815086386982503	0.935037455052103
pos_seq78	-1.01381001921648	8.4028487642335	-0.12065075162744	0.903967668437583
pos_seq79	-0.00480988923777952	8.40844886315787	-0.000572030503610997	0.999543585717752
pos_seq80	-1.33260804367648	8.40394804174705	-0.158569286370724	0.874008228504571
pos_seq81	-0.00480988923789433	8.40213851834137	-0.000572460121598165	0.999543242932249
pos_seq82	-0.829666415152301	8.40136277314364	-0.0987537900165993	0.921333759295886
pos_seq83	-1.70125917866282	8.40692032765652	-0.202364137205646	0.839632062729839
pos_seq84	0.400655218870336	8.40671800066218	0.0476589340618749	0.961988062759761
pos_seq85	-0.697957069797192	8.48915645533496	-0.082217482204438	0.934473771721251
pos_seq86	-0.0599617093129732	8.40112929455225	-0.00713733918508499	0.994305275608787
pos_seq87	-0.921100621112413	8.4109209059833	-0.109512457840041	0.912796041271119
pos_seq88	-1.53229069439839	8.40171838595023	-0.182378249782898	0.855285893705183
pos_seq89	-2.46866312982759	8.41663012574117	-0.293307783869165	0.769286904497258
pos_seq90	-0.610945692808468	8.41581789989346	-0.0725949277985449	0.94212846310241
pos_seq91	-0.0048098892377558	8.41132535291479	-0.000571834881656197	0.999543741801464
pos_seq92	-3.09585234259499	8.4623990057974	-0.365836252872748	0.714487266393933
pos_seq93	-0.410274997347075	8.44988319947785	-0.0485539252628282	0.961274788939263
pos_seq94	-1.59663325497088	8.40110074770794	-0.190050483016346	0.849269571625651
